entity_type,entity_id,entity_name,latitude,longitude,routing_node_id,snap_distance_m
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,프라이드병원,36.7706077,127.0734273,2882037404,25.223778417984107
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQzNjE4MzIjODEjJDEjJDIjJDgz,돋움병원,36.8240498,127.1351972,3020429800,29.29137768898969
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz,마디손병원,36.8064529,127.1064318,3020021702,25.952914041340133
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,앙즈로여성병원,36.810453,127.1069713,3020034104,21.715232512696495
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,천안리턴병원,36.8204224,127.1096819,3020038302,137.4062644304104
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz,아이본병원,36.8193168,127.1093305,3020040402,122.50924632508712
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjEyMjIjNjEjJDEjJDQjJDgz,서울프라임병원,36.8212772,127.1099304,3020038302,42.20905536514108
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,의료법인 모두온의료재단 메디플러스병원,36.6780474,126.8343277,2980071408,152.2957852036128
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjE4MzIjNTEjJDEjJDYjJDgz,삼성미즈병원,36.7881409,127.104614,2881888916,40.95162567099709
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEyMjIjNjEjJDEjJDQjJDgz,천안다나힐병원,36.8198442,127.1586367,3010078104,24.5033151412041
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,연세나무병원,36.8140496,127.1085045,3020019201,63.63780861783055
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,천안재활병원,36.8175781,127.1349515,3020111602,42.98000618284935
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQzNjE4MzIjODEjJDEjJDYjJDgz,삼성스카이병원,36.8267926,127.1389725,3020129403,17.034095997534084
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3OSQ0NjEwMDIjODEjJDEjJDYjJDgz,리더스아산병원,36.7875456,127.0066852,2882241400,25.401315437812745
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,우리척병원,36.793903,127.1245555,3020078004,42.39345170683763
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,꿈크는아이병원,36.7759658,127.0556762,2882033801,38.8943002580635
